Ticker,Date,시가총액(억),보유비중(%),거래비중(%),보유자수(명),내부보유금액(억),"24시간 순입금(억)",전일대비유통량증감(%),"24시간 거래금액(억)",체결강도(%),가격,빗썸유통비율(%),거래금액/내부보유금액(%),순입금/내부보유금액(%),"1주일 상승률(%)","1개월 상승률(%)","3개월 상승률(%)"
BIGTIME,2024/04/02,3026,7,41,18283,351.17,7.6,1.33,67.2,71.51,445,11.61,19.14,2.16,-17.28,-33.68,-10.64
GRS,2024/04/02,744,21,35,2681,52.79,-0.73,-0.32,13.9,104.24,876,7.1,26.33,-1.38,-9.22,0,0
ARK,2024/04/02,2379,18,48,5769,57.21,1.1,1.78,11.6,100.07,1358,2.4,20.28,1.92,-13.55,-6.08,0
YGG,2024/04/02,6455,26,48,5170,146.07,-11.3,-4.12,65.1,114.92,2160,2.26,44.57,-7.74,24.06,133.76,0
HUNT,2024/04/02,820,26,51,5143,44.92,0.94,2.84,10,48.79,644,5.48,22.26,2.09,-18.99,0,0
KAVA,2024/04/02,14302,37,53,1999,23.55,0.6,-3.1,16.1,120.86,1414,0.16,68.37,2.55,-0.63,3.28,0
STMX,2024/04/02,1393,36,48,3009,39.85,-0.97,-2.17,6.1,122.34,0,2.86,15.31,-2.43,-16.75,0.74,36.58
MAGIC,2024/04/02,3476,12,42,3949,51.09,0.94,0.31,13.7,69.52,1417,1.47,26.82,1.84,-13.96,-23.98,0
USDT,2024/04/02,1416217,39,34,24716,370.45,-28.2,8.86,1665.5,293.31,1444,0.03,449.59,-7.61,1.33,3.66,7.52
USDC,2024/04/02,441530,70,79,1895,24.14,-2.1,-9.77,9.5,198.91,1446,0.01,39.35,-8.7,1.18,3.87,7.66
RAD,2024/04/02,1861,35,54,11834,42.84,-7.1,-0.45,15,69.23,3855,2.3,35.01,-16.57,-12.82,12.29,0
LSK,2024/04/02,3092,24,46,2324,45.08,0.04,0.31,8.8,86.35,2576,1.46,19.52,0.09,-10.08,8.46,0
TT,2024/04/02,805,27,52,4042,25.85,-0.11,-0.3,3.6,122.21,0,3.21,13.93,-0.43,-11.02,-3.67,0
ACE,2024/04/02,2563,18,41,15878,356.07,11,1.03,59.3,70.29,12500,13.89,16.65,3.09,-19.97,-34.86,10.91
IQ,2024/04/02,3128,14,31,7247,82.88,4.5,4.33,28.3,39.06,0,2.65,34.15,5.43,-17.58,0,0
PYTH,2024/04/02,17594,8,35,12443,252.8,-8.3,-1.42,99.2,69.1,1256,1.44,39.24,-3.28,-4.77,36.22,0
MANTA,2024/04/02,9339,14,45,17691,253.79,1.3,0.28,21.7,76.95,3993,2.72,8.55,0.51,-11.38,4.31,0
JUP,2024/04/02,28928,9,30,12760,671.97,-14.6,-0.57,319.8,79.74,2300,2.32,47.59,-2.17,25,174.46,0
STRK,2024/04/02,18991,11,27,34672,1058.14,3.8,0.31,121.5,68.03,2787,5.57,11.48,0.36,-13.66,10.59,0
SC,2024/04/02,6979,14,33,6256,64.45,2.9,0.79,19.1,48.39,0,0.92,29.64,4.5,-13.12,0,0
STRAX,2024/04/02,0,26,41,43739,119.29,1.2,1.81,83.4,64.24,165,0,69.91,1.01,-14.94,0,0
